mu,sigma,tcr_mean,yrs,thresh
1,0.25,1.456066944,97,1.5
0.9,0.25,1.45258779,97,1.5
0.8,0.25,1.455098372,99,1.5
0.7,0.25,1.456742718,100,1.5
0.6,0.25,1.450432716,100,1.5
0.5,0.25,1.459382082,102,1.5
0.4,0.25,1.450028406,102,1.5
0.3,0.25,1.453932951,103,1.5
0.2,0.25,1.456648925,106,1.5
0.1,0.25,1.463167065,107,1.5
0,0.25,1.456096274,107,1.5
1,0.23174,1.452158112,97,1.5
0.9,0.23174,1.454817344,98,1.5
0.8,0.23174,1.457774409,100,1.5
0.7,0.23174,1.454402127,101,1.5
0.6,0.23174,1.451221382,101,1.5
0.5,0.23174,1.452894002,102,1.5
0.4,0.23174,1.452137959,103,1.5
0.3,0.23174,1.450191108,106,1.5
0.2,0.23174,1.454612955,107,1.5
0.1,0.23174,1.450979496,109,1.5
0,0.23174,1.45034843,110,1.5
1,0.21348,1.453095639,98,1.5
0.9,0.21348,1.458895419,100,1.5
0.8,0.21348,1.451269326,101,1.5
0.7,0.21348,1.455283701,102,1.5
0.6,0.21348,1.452829685,103,1.5
0.5,0.21348,1.452264277,106,1.5
0.4,0.21348,1.454979353,107,1.5
0.3,0.21348,1.451395065,109,1.5
0.2,0.21348,1.452228471,110,1.5
0.1,0.21348,1.451349454,112,1.5
0,0.21348,1.457005045,114,1.5
1,0.19522,1.45610541,100,1.5
0.9,0.19522,1.45291175,101,1.5
0.8,0.19522,1.452349686,102,1.5
0.7,0.19522,1.450776338,104,1.5
0.6,0.19522,1.457537473,107,1.5
0.5,0.19522,1.452393769,108,1.5
0.4,0.19522,1.457163584,112,1.5
0.3,0.19522,1.450432762,112,1.5
0.2,0.19522,1.454541798,114,1.5
0.1,0.19522,1.451757229,117,1.5
0,0.19522,1.456200351,118,1.5
1,0.17696,1.452097013,101,1.5
0.9,0.17696,1.45263968,102,1.5
0.8,0.17696,1.450087083,105,1.5
0.7,0.17696,1.452311794,107,1.5
0.6,0.17696,1.452677242,110,1.5
0.5,0.17696,1.453075709,113,1.5
0.4,0.17696,1.454374143,114,1.5
0.3,0.17696,1.450566648,117,1.5
0.2,0.17696,1.452281052,118,1.5
0.1,0.17696,1.45176933,120,1.5
1,0.1587,1.455552058,103,1.5
0.9,0.1587,1.454384315,106,1.5
0.8,0.1587,1.453815637,110,1.5
0.7,0.1587,1.456901677,113,1.5
0.6,0.1587,1.453363025,115,1.5
0.5,0.1587,1.450379464,117,1.5
0.4,0.1587,1.454407764,120,1.5
1,0.14044,1.456627713,107,1.5
0.9,0.14044,1.450306389,111,1.5
0.8,0.14044,1.454073266,114,1.5
0.7,0.14044,1.456821546,118,1.5
0.6,0.14044,1.451132638,120,1.5
1,0.12218,1.451958773,112,1.5
0.9,0.12218,1.450525426,117,1.5
0.8,0.12218,1.450223698,120,1.5
1,0.10392,1.452153842,119,1.5
0,0.17696,1.456092512,141,1.5
0.3,0.1587,1.457179381,144,1.5
0.2,0.1587,1.459966726,146,1.5
0.1,0.1587,1.453081785,146,1.5
0,0.1587,1.451014886,148,1.5
0.5,0.14044,1.450629554,144,1.5
0.4,0.14044,1.453965366,146,1.5
0.3,0.14044,1.453018319,149,1.5
0.2,0.14044,1.458566945,150,1.5
0.1,0.14044,1.452024612,150,1.5
0,0.14044,1.450394332,151,1.5
0.7,0.12218,1.450336355,145,1.5
0.6,0.12218,1.451127518,147,1.5
0.5,0.12218,1.457055261,150,1.5
0.4,0.12218,1.455550561,151,1.5
0.3,0.12218,1.459964539,152,1.5
0.2,0.12218,1.452623087,153,1.5
0.1,0.12218,1.450963907,157,1.5
0,0.12218,1.452971765,158,1.5
0.9,0.10392,1.45606124,146,1.5
0.8,0.10392,1.450042179,149,1.5
0.7,0.10392,1.456593169,151,1.5
0.6,0.10392,1.456542323,152,1.5
0.5,0.10392,1.452516444,156,1.5
0.4,0.10392,1.452499912,158,1.5
0.3,0.10392,1.454771588,164,1.5
0.2,0.10392,1.450738187,165,1.5
0.1,0.10392,1.453997004,169,1.5
0,0.10392,1.456777895,171,1.5
1,0.08566,1.46150355,150,1.5
0.9,0.08566,1.450131833,151,1.5
0.8,0.08566,1.450120071,156,1.5
0.7,0.08566,1.451857198,159,1.5
0.6,0.08566,1.45085816,165,1.5
0.5,0.08566,1.451179498,169,1.5
0.4,0.08566,1.452451451,171,1.5
0.3,0.08566,1.454697095,177,1.5
0.2,0.08566,1.451954228,180,1.5
0.1,0.08566,1.45292465,183,1.5
0,0.08566,1.451597138,185,1.5
1,0.0674,1.45204434,158,1.5
0.9,0.0674,1.452113976,168,1.5
0.8,0.0674,1.451058942,171,1.5
0.7,0.0674,1.451342511,178,1.5
0.6,0.0674,1.451062604,183,1.5
0.5,0.0674,1.451052672,188,1.5
0.4,0.0674,1.451130024,203,1.5
0.3,0.0674,1.450708583,213,1.5
0.2,0.0674,1.450065517,227,1.5
0.1,0.0674,1.445531571,235,1.5
0,0.0674,1.435636691,235,1.5
