mu,sigma,tcr_mean,yrs
0,0.17696,1.45609251201495,141
0.3,0.1587,1.45717938141529,144
0.2,0.1587,1.45996672581221,146
0.1,0.1587,1.45308178518592,146
0,0.1587,1.45101488593562,148
0.5,0.14044,1.45062955381753,144
0.4,0.14044,1.45396536579186,146
0.3,0.14044,1.45301831897869,149
0.2,0.14044,1.45856694543205,150
0.1,0.14044,1.45202461248661,150
0,0.14044,1.45039433203847,151
0.7,0.12218,1.4503363545893,145
0.6,0.12218,1.45112751839248,147
0.5,0.12218,1.45705526146468,150
0.4,0.12218,1.4555505611216,151
0.3,0.12218,1.45996453928081,152
0.2,0.12218,1.45262308691332,153
0.1,0.12218,1.45096390665758,157
0,0.12218,1.45297176515956,158
0.9,0.10392,1.45606124002379,146
0.8,0.10392,1.45004217869591,149
0.7,0.10392,1.45659316930775,151
0.6,0.10392,1.45654232306114,152
0.5,0.10392,1.4525164443782,156
0.4,0.10392,1.45249991157974,158
0.3,0.10392,1.45477158764038,164
0.2,0.10392,1.45073818661914,165
0.1,0.10392,1.45399700370493,169
0,0.10392,1.45677789500058,171
1,0.08566,1.46150354966808,150
0.9,0.08566,1.4501318329651,151
0.8,0.08566,1.45012007137956,156
0.7,0.08566,1.45185719838636,159
0.6,0.08566,1.45085815999477,165
0.5,0.08566,1.4511794975963,169
0.4,0.08566,1.45245145132998,171
0.3,0.08566,1.45469709464606,177
0.2,0.08566,1.45195422768973,180
0.1,0.08566,1.45292464987328,183
0,0.08566,1.4515971380497,185
1,0.0674,1.45204433983255,158
0.9,0.0674,1.45211397581104,168
0.8,0.0674,1.45105894240205,171
0.7,0.0674,1.45134251053638,178
0.6,0.0674,1.45106260431121,183
0.5,0.0674,1.45105267161657,188
0.4,0.0674,1.45113002390691,203
0.3,0.0674,1.4507085827664,213
0.2,0.0674,1.4500655171907,227
0.1,0.0674,1.44553157076578,235
0,0.0674,1.43563669099471,235
