param,mean,q025,q975,prior,series,run
alpha,-0.00011570572917675,-0.01600812,0.015421655,ni,anthro,anthro
beta,0.42466152425,0.380506125,0.469522775,ni,anthro,anthro
gamma,0.047221232551925,-0.003223512,0.09664417,ni,anthro,anthro
delta,-0.02349266045,-0.0348872575,-0.0119094525,ni,anthro,anthro
eta,0.46990205025,0.388692025,0.55204045,ni,anthro,anthro
phi,0.323697725525,0.19114115,0.45132665,ni,anthro,anthro
tcr,1.57615093727902,1.35568560166641,1.808162890066,ni,anthro,anthro
alpha,7.539948011125e-05,-0.0164063775,0.01594494,ni,co2,anthro
beta,0.4521236595,0.369215225,0.53839505,ni,co2,anthro
gamma,0.048868956045375,-0.00011736705,0.0979410625,ni,co2,anthro
delta,-0.0233502817975,-0.0348628175,-0.012229565,ni,co2,anthro
eta,0.47685624125,0.393943275,0.558184075,ni,co2,anthro
phi,0.321922246775,0.185479575,0.448214,ni,co2,anthro
tcr,1.67815097836734,1.34332028797184,2.04355123147173,ni,co2,anthro
alpha,5.2781692082e-05,-0.01689047,0.016150585,lukemod,anthro,anthro
beta,0.408999586,0.36622945,0.4512675,lukemod,anthro,anthro
gamma,0.0457071215276,-0.00528439425,0.0937212025,lukemod,anthro,anthro
delta,-0.0238758247325,-0.03530711,-0.012614315,lukemod,anthro,anthro
eta,0.46993067975,0.39036255,0.551866275,lukemod,anthro,anthro
phi,0.323057191475,0.187422075,0.44526385,lukemod,anthro,anthro
tcr,1.517919956888,1.30635559757893,1.73796868656605,lukemod,anthro,anthro
alpha,-5.3814872935e-05,-0.01570107,0.01563404,lukemod,co2,anthro
beta,0.39886660725,0.3275921,0.47121245,lukemod,co2,anthro
gamma,0.04571662395335,-0.00401047075,0.0961854925,lukemod,co2,anthro
delta,-0.023831019435,-0.03499115,-0.0128889825,lukemod,co2,anthro
eta,0.465673692,0.38294715,0.5548676,lukemod,co2,anthro
phi,0.3263604816,0.189912025,0.459627275,lukemod,co2,anthro
tcr,1.48037423197677,1.18210475418036,1.80115757664178,lukemod,co2,anthro
alpha,0.0002285995503225,-0.0177004625,0.0187677875,lukestrong,anthro,anthro
beta,0.321467816,0.29055875,0.351826075,lukestrong,anthro,anthro
gamma,0.0377569567436425,-0.0161307125,0.0891635775,lukestrong,anthro,anthro
delta,-0.0257762931125,-0.0377408525,-0.013501705,lukestrong,anthro,anthro
eta,0.461070556,0.371389975,0.551606775,lukestrong,anthro,anthro
phi,0.37140038825,0.235426625,0.498120525,lukestrong,anthro,anthro
tcr,1.19308414331134,1.03310003194051,1.36014564966551,lukestrong,anthro,anthro
alpha,7.05435784775e-05,-0.0164215775,0.0170571675,lukestrong,co2,anthro
beta,0.2933856935,0.2594497,0.326796175,lukestrong,co2,anthro
gamma,0.0388941637937,-0.013345925,0.0913500025,lukestrong,co2,anthro
delta,-0.02444371864,-0.0369402575,-0.0123055625,lukestrong,co2,anthro
eta,0.44633042575,0.361689725,0.529338975,lukestrong,co2,anthro
phi,0.35300341925,0.2145815,0.474482775,lukestrong,co2,anthro
tcr,1.08888972414277,0.93039436475831,1.2552049784495,lukestrong,co2,anthro
alpha,0.00020715028019,-0.0157231725,0.0161540575,denmod,anthro,anthro
beta,0.38098568375,0.33375025,0.424882225,denmod,anthro,anthro
gamma,0.04335276554145,-0.00781362725,0.09619395,denmod,anthro,anthro
delta,-0.024796055115,-0.0363877375,-0.0133708325,denmod,anthro,anthro
eta,0.46678985825,0.383325875,0.55093995,denmod,anthro,anthro
phi,0.331107670325,0.1935545,0.456731875,denmod,anthro,anthro
tcr,1.41390225903123,1.20053440635647,1.63042760110874,denmod,anthro,anthro
alpha,0.000158528523345,-0.016582155,0.01691274,denmod,co2,anthro
beta,0.31138342925,0.229006625,0.386369,denmod,co2,anthro
gamma,0.040747261096075,-0.012643345,0.09279038,denmod,co2,anthro
delta,-0.024261941245,-0.035655355,-0.0127411825,denmod,co2,anthro
eta,0.4482446485,0.36085845,0.534861125,denmod,co2,anthro
phi,0.348344126075,0.208367775,0.476985475,denmod,co2,anthro
tcr,1.15573493180664,0.836564752130584,1.46319939289055,denmod,co2,anthro
alpha,0.0011343730063375,-0.029592165,0.0324329625,denstrong,anthro,anthro
beta,0.06200274115875,0.0266108475,0.09786605,denstrong,anthro,anthro
gamma,0.0108262262704775,-0.081022975,0.100866675,denstrong,anthro,anthro
delta,-0.02552278927425,-0.042618415,-0.00914523849999999,denstrong,anthro,anthro
eta,0.45531229075,0.315740825,0.591548125,denstrong,anthro,anthro
phi,0.58582080125,0.476342575,0.68168315,denstrong,anthro,anthro
tcr,0.230153672963633,0.0986451096616439,0.365632742509597,denstrong,anthro,anthro
alpha,-0.00012208374395675,-0.023221205,0.0226660375,denstrong,co2,anthro
beta,0.0354476869740375,0.00108269775,0.06929917,denstrong,co2,anthro
gamma,0.020767904334,-0.0482085275,0.0897843725,denstrong,co2,anthro
delta,-0.0238392077225,-0.0378651775,-0.0100268565,denstrong,co2,anthro
eta,0.4056752555,0.294358725,0.5112804,denstrong,co2,anthro
phi,0.47584487175,0.3537982,0.584386225,denstrong,co2,anthro
tcr,0.131568760601497,0.00422123321065892,0.259539693074095,denstrong,co2,anthro
