param,mean,q025,q975,prior,run
alpha,0.0001521582543425,-0.0186112425,0.0187289325,ni,eff1
beta,0.58146438975,0.527274325,0.63368275,ni,eff1
gamma,-0.0038934293917,-0.097380635,0.09093237,ni,eff1
delta,-0.0243768068075,-0.036933395,-0.011704755,ni,eff1
eta,0.4383877495,0.347578525,0.529222575,ni,eff1
phi,0.3927280405,0.2597549,0.510807975,ni,eff1
tcr,2.15803192477276,1.87117848560274,2.456291132837,ni,eff1
alpha,0.000250302876995,-0.01887899,0.019538165,lukemod,eff1
beta,0.540512305,0.48967875,0.58891915,lukemod,eff1
gamma,0.0013645218444,-0.09147269,0.0887889825,lukemod,eff1
delta,-0.0251355269,-0.038744245,-0.01241174,lukemod,eff1
eta,0.43639218225,0.34551505,0.528842275,lukemod,eff1
phi,0.39643958625,0.267454875,0.511738,lukemod,eff1
tcr,2.00600448263691,1.74466264652321,2.27224406924543,lukemod,eff1
alpha,0.000348745972265,-0.0264796975,0.0268603025,lukestrong,eff1
beta,0.32861693025,0.2947076,0.36228875,lukestrong,eff1
gamma,0.0224930800624083,-0.102565825,0.15154705,lukestrong,eff1
delta,-0.0255871419175,-0.0404120975,-0.01072125,lukestrong,eff1
eta,0.4358762035,0.31747675,0.552860675,lukestrong,eff1
phi,0.530009299,0.421117925,0.62927705,lukestrong,eff1
tcr,1.2195948666432,1.05727271952593,1.40109570648418,lukestrong,eff1
alpha,0.000348871665665,-0.0193850425,0.0197382425,denmod,eff1
beta,0.4980826635,0.4411112,0.550685225,denmod,eff1
gamma,0.0053935621183275,-0.0906140525,0.100006685,denmod,eff1
delta,-0.0258571468725,-0.0383849425,-0.01326165,denmod,eff1
eta,0.435081913,0.341575475,0.5302215,denmod,eff1
phi,0.4137984905,0.28539465,0.532286975,denmod,eff1
tcr,1.8486303362453,1.58028077240354,2.12345439646775,denmod,eff1
alpha,-0.000296890112795,-0.0402167475,0.0396708775,denstrong,eff1
beta,0.049757649135325,0.014674765,0.0851275475,denstrong,eff1
gamma,0.043798071017075,-0.15383565,0.24926945,denstrong,eff1
delta,-0.02451955764265,-0.04510317,-0.00417479275,denstrong,eff1
eta,0.44587392525,0.273925575,0.61427555,denstrong,eff1
phi,0.669440812,0.56933965,0.753098075,denstrong,eff1
tcr,0.18458946007084,0.0546283428700165,0.314940366592674,denstrong,eff1
